urban_treated,urban_control,rural_treated,rural_control,,A列平均值,139.1526316,,144.0716269,,,
16,,1,,,,,,,,,
0,,0,,,,,,,,,
0,,3,,,,,,,,,
1,,21,,,,,,,,,
708,,9,,,,,,,,,
3,,0,,,,,,,,,
116,,5,,,,,,,,,
0,,3,,,,,,,,,
103,,0,,,,,,,,,
122,,4,,,,,,,,,
146,,2,,,,,,,,,
13,,13,,,,,,,,,
12,,1,,,,,,,,,
259,,20,,,,,,,,,
60,,5,,,,,,,,,
85,,5,,,,,,,,,
287,,2,,,,,,,,,
121,,0,,,,,,,,,
298,,3,,,,,,,,,
155,,4,,,,,,,,,
21,,2,,,,,,,,,
45,,0,,,,,,,,,
48,,22,,,,,,,,,
3,,27,,,,,,,,,
0,,9,,,,,,,,,
47,,3,,,,,,,,,
62,,5,,,,,,,,,
7,,1,,,,,,,,,
11,,16,,,,,,,,,
22,,6,,,,,,,,,
516,,111,,,,,,,,,
82,,14,,,,,,,,,
16,,7,,,,,,,,,
121,,0,,,,,,,,,
159,,17,,,,,,,,,
0,,46,,,,,,,,,
47,,1,,,,,,,,,
42,,0,,,,,,,,,
11,,6,,,,,,,,,
11,,1,,,,,,,,,
12,,0,,,,,,,,,
40,,35,,,,,,,,,
0,,33,,,,,,,,,
156,,2,,,,,,,,,
77,,6,,,,,,,,,
76,,9,,,,,,,,,
590,,5,,,,,,,,,
94,,5,,,,,,,,,
370,,16,,,,,,,,,
169,,3,,,,,,,,,
116,,1,,,,,,,,,
66,,81,,,,,,,,,
21,,2,,,,,,,,,
273,,22,,,,,,,,,
37,,35,,,,,,,,,
94,,14,,,,,,,,,
13,,28,,,,,,,,,
0,,37,,,,,,,,,
1,,2,,,,,,,,,
677,,0,,,,,,,,,
41,,32,,,,,,,,,
69,,2,,,,,,,,,
20,,35,,,,,,,,,
38,,16,,,,,,,,,
50,,11,,,,,,,,,
73,,14,,,,,,,,,
203,,36,,,,,,,,,
1071,,20,,,,,,,,,
0,,15,,,,,,,,,
232,,5,,,,,,,,,
70,,6,,,,,,,,,
260,,0,,,,,,,,,
215,,2,,,,,,,,,
97,,1,,,,,,,,,
7,,27,,,,,,,,,
118,,16,,,,,,,,,
62,,39,,,,,,,,,
0,,1,,,,,,,,,
62,,2,,,,,,,,,
60,,31,,,,,,,,,
0,,58,,,,,,,,,
96,,33,,,,,,,,,
232,,0,,,,,,,,,
145,,12,,,,,,,,,
150,,144,,,,,,,,,
351,,0,,,,,,,,,
20,,0,,,,,,,,,
169,,22,,,,,,,,,
14,,0,,,,,,,,,
110,,1,,,,,,,,,
122,,1,,,,,,,,,
108,,21,,,,,,,,,
208,,2,,,,,,,,,
223,,1,,,,,,,,,
0,,4,,,,,,,,,
49,,13,,,,,,,,,
150,,6,,,,,,,,,
119,,13,,,,,,,,,
15,,3,,,,,,,,,
89,,25,,,,,,,,,
219,,33,,,,,,,,,
0,,13,,,,,,,,,
139,,17,,,,,,,,,
107,,0,,,,,,,,,
167,,5,,,,,,,,,
498,,40,,,,,,,,,
190,,0,,,,,,,,,
136,,0,,,,,,,,,
32,,5,,,,,,,,,
38,,4,,,,,,,,,
101,,6,,,,,,,,,
28,,0,,,,,,,,,
31,,0,,,,,,,,,
40,,2,,,,,,,,,
5,,0,,,,,,,,,
26,,5,,,,,,,,,
7,,11,,,,,,,,,
140,,0,,,,,,,,,
125,,1,,,,,,,,,
76,,88,,,,,,,,,
12,,5,,,,,,,,,
65,,7,,,,,,,,,
36,,10,,,,,,,,,
5,,7,,,,,,,,,
11,,19,,,,,,,,,
48,,8,,,,,,,,,
84,,9,,,,,,,,,
459,,2,,,,,,,,,
33,,1,,,,,,,,,
64,,0,,,,,,,,,
9,,0,,,,,,,,,
73,,10,,,,,,,,,
44,,16,,,,,,,,,
96,,4,,,,,,,,,
179,,2,,,,,,,,,
836,,25,,,,,,,,,
90,,10,,,,,,,,,
4,,62,,,,,,,,,
26,,0,,,,,,,,,
453,,175,,,,,,,,,
3,,0,,,,,,,,,
183,,9,,,,,,,,,
0,,7,,,,,,,,,
7,,15,,,,,,,,,
91,,27,,,,,,,,,
13,,10,,,,,,,,,
12,,1,,,,,,,,,
37,,3,,,,,,,,,
5,,13,,,,,,,,,
19,,2,,,,,,,,,
17,,6,,,,,,,,,
14,,22,,,,,,,,,
16,,0,,,,,,,,,
7,,0,,,,,,,,,
12,,0,,,,,,,,,
31,,8,,,,,,,,,
40,,6,,,,,,,,,
98,,16,,,,,,,,,
34,,0,,,,,,,,,
60,,22,,,,,,,,,
